,dataset,ssim_norm,ssim
205,ShanghaiTech_part_B,0.4543618857860565,0.3859519958496094
206,ShanghaiTech_part_B,0.6625613570213318,0.686900794506073
207,ShanghaiTech_part_B,0.8948169946670532,0.8994094133377075
208,ShanghaiTech_part_B,0.7726684808731079,0.7983855605125427
209,ShanghaiTech_part_B,0.8798620700836182,0.9147746562957764
210,ShanghaiTech_part_B,0.8845416903495789,0.7681042551994324
211,ShanghaiTech_part_B,0.7530649304389954,0.8049907684326172
212,ShanghaiTech_part_B,0.9049369096755981,0.9208522439002991
213,ShanghaiTech_part_B,0.30247628688812256,0.16978052258491516
214,ShanghaiTech_part_B,0.8976351618766785,0.9211032390594482
215,ShanghaiTech_part_B,0.9167869091033936,0.9167903065681458
216,ShanghaiTech_part_B,0.920527994632721,0.9317946434020996
217,ShanghaiTech_part_B,0.9129724502563477,0.7796239852905273
